queue	key	label	source	source_id	hint
review-readiness	CHEBI:228372	(9ξ,14ξ,25S)-cholestane-3β,4β,6β,7α,8,15α,16β,26-octol	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:70401	(E)-1-(2,3-dihydro-1H-pyrrol-1-yl)-2-methyldec-8-ene-1,3-dione	CHEBI	PMID:21053938	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:137441	(E)-1-hydroxy-2-(non-1-en-1-yl)quinolin-4-one	CHEBI	PMID:15144975|PMID:28523838	MECHANISM_REVIEW: mechanism is absent; 2 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:167669	(E)-2-[[[4-(2-chlorophenyl)-1,3-thiazol-2-yl]hydrazinylidene]methyl]benzoic acid	CHEBI	PMID:32754890	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:70655	(E)-4,2',4'-trihydroxy-6'-methoxy-3',5'-dimethylchalcone	CHEBI	PMID:20886838	MECHANISM_REVIEW: mechanism is source-seeded and not curator-checked; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:16731	(E)-cinnamaldehyde	CHEBI	PMID:11975643|PMID:17140783|PMID:17662960|PMID:18218683|PMID:19845671	MECHANISM_REVIEW: mechanism is absent; 10 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:133741	(E)-dodec-2-enal	CHEBI	PMID:14194100|PMID:15012807|PMID:15161192|PMID:15612802|PMID:21062639	MECHANISM_REVIEW: mechanism is absent; 10 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:61748	(E)-oct-2-enal	CHEBI	PMID:19323756|PMID:20643751|PMID:20736172|PMID:33167323|PMID:35489259	MECHANISM_REVIEW: mechanism is absent; 7 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:48935	(E)-roxithromycin	CHEBI	PMID:12575424|PMID:24462419	MECHANISM_REVIEW: mechanism is absent; 2 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:27949	(E)-sinapaldehyde	CHEBI	PMID:21080014|PMID:22034160|PMID:22466741|PMID:23561163|PMID:28878036	MECHANISM_REVIEW: mechanism is absent; 5 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:167317	(E)-tomaymycin	CHEBI	PMID:6833147	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:80830	(E,E)-germacrone	CHEBI	PMID:24095670|PMID:26997613|PMID:27178541|PMID:28148897|PMID:29138518	MECHANISM_REVIEW: mechanism is absent; 10 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:46762	(E,E,E)-geranylgeraniol	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:146007	(M)-viriditoxin	CHEBI	PMID:21413107|PMID:23049144|PMID:25231051|PMID:29037949|PMID:31045362	MECHANISM_REVIEW: mechanism is absent; 6 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:299	(R)-(+)-citronellal	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:141345	(R)-3-hydroxybutanenitrile	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:66703	(R)-4''-methoxydalbergione	CHEBI	PMID:14640516	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:134543	(R)-4-hydroxy-1-methyl-L-proline	CHEBI	PMID:11199132|PMID:12903959|PMID:16425210|PMID:22071447|PMID:26427611	MECHANISM_REVIEW: mechanism is absent; 5 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:65537	(R)-7-butyl-6,8-dihydroxy-3-[(3E)-pent-3-en-1-yl]-3,4-dihydroisochromen-1-one	CHEBI	PMID:12762815	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:59301	(R)-bromazine	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:59304	(R)-bromazine hydrochloride	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:59287	(R)-butaconazole	CHEBI		MECHANISM_REVIEW: mechanism is source-seeded and not curator-checked; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:59289	(R)-butoconazole nitrate	CHEBI		MECHANISM_REVIEW: mechanism is source-seeded and not curator-checked; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:48811	(R)-chloroquine	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:59479	(R)-chlorphenesin	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:85273	(R)-flumequine	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:145868	(R)-fluoxapiprolin	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:53560	(R)-gatifloxacin	CHEBI		MECHANISM_REVIEW: mechanism is source-seeded and not curator-checked; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:183228	(R)-goitrin	CHEBI	PMID:11170613|PMID:17401984|PMID:19160787|PMID:23901642|PMID:25345127	MECHANISM_REVIEW: mechanism is absent; 10 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:131752	(R)-iclaprim	CHEBI	PMID:19622858	MECHANISM_REVIEW: mechanism is source-seeded and not curator-checked; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:28	(R)-linalool	CHEBI	PMID:18579302	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:17656	(R)-mandelic acid	CHEBI	PMID:11196078	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:67373	(R)-N-trans-feruloyloctopamine	CHEBI	PMID:21542597	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:37907	(R)-nadifloxacin	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
